index,asin,product_name,image,overall,reviewText,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote
0,B00009W3I4,Samsung 11 pro,,5,I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,"08 22, 2013",A34A1UP40713F8,James. Backus,{'Style:': ' Dryer Vent'},Great product,1377129600,TRUE,
1,B00009W3PA,Samsung S20,,5,good item,"02 08, 2016",A1AHW6I678O6F2,kevin.,{'Size:': ' 6-Foot'},Five Stars,1454889600,TRUE,
2,B00009W3PA,Samsung S20,,5,Fit my new LG dryer perfectly.,"08 05, 2015",A8R48NKTGCJDQ,CDBrannom,{'Size:': ' 6-Foot'},Five Stars,1438732800,TRUE,
3,B00009W3PA,Samsung S20,,5,Good value for electric dryers,"04 24, 2015",AR3OHHHW01A8E,Calvin E Reames,{'Size:': ' 6-Foot'},Perfect size,1429833600,TRUE,
4,B00009W3PA,Samsung S20,,5,Price and delivery was excellent.,"03 21, 2015",A2CIEGHZ7L1WWR,albert j. kong,{'Size:': ' 6-Foot'},Five Stars,1426896000,TRUE,
5,B00009W3PA,Samsung S20,,5,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,"12 26, 2013",A1RQQV9HYHDHDN,Adam Baer,{'Size:': ' 6-Foot'},Easy install,1388016000,TRUE,
6,B0009GVYNW,Xiaomi 11 pro,,4,Good value.,"08 02, 2016",A1OB2H416ARLFJ,Commando Big,,Good value for the price.,1470096000,TRUE,
7,B000N6302Q,Xiaomi Note 10,,2,works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.,"07 06, 2017",A3LGZ8M29PBNGG,nerenttt,{'Color:': ' Blue'},"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!",1499299200,FALSE,
8,B000N6302Q,Xiaomi Note 10,,2,"Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!","07 06, 2017",A3LGZ8M29PBNGG,nerenttt,{'Color:': ' Stainless Steel'},my advice is do not buy without  extended warranty!,1499299200,FALSE,
9,B000N6302Q,Xiaomi Note 10,,1,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...
 pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.","11 14, 2014",A3SM7H70QI3TY8,SRH,,NewAir will not stand behind their products - company emails included,1415923200,FALSE,
10,B000N6302Q,Xiaomi Note 10,,1,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.","11 14, 2014",A3SM7H70QI3TY8,SRH,{'Color:': ' Orange'},"WHAT A PIECE OF JUNK, NewAir doesn't stand by their products!",1415923200,FALSE,
11,B000N6302Q,Xiaomi Note 10,,1,"

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?


Susan Ferguson","11 14, 2014",A3SM7H70QI3TY8,SRH,{'Color:': ' Stainless Steel'},NewAir will not stand behind their products - company emails included,1415923200,FALSE,3
12,B000N6302Q,Xiaomi Note 10,,1,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.","11 14, 2014",A3SM7H70QI3TY8,SRH,{'Color:': ' Blue'},WHAT A PIECE OF JUNK! NewAir doesn't stand by their products!,1415923200,FALSE,
13,B000N6302Q,Xiaomi Note 10,,1,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.","11 14, 2014",A3SM7H70QI3TY8,SRH,{'Color:': ' Silver'},PIECE OF JUNK and NewAir doesn't stand by their products.,1415923200,FALSE,
14,B000NCTOUM,Xiaomi 11 pro,,5,Great product,"04 30, 2016",A3GP2HMB2AFOKF,Juan,,Five Stars,1461974400,TRUE,
15,B000NCTOUM,Xiaomi 11 pro,,5,Did the job for fixing our Maytag dryer,"11 11, 2015",AR3OHHHW01A8E,Calvin E Reames,,Works on a Maytag also,1447200000,TRUE,
16,B000NCTOUM,Xiaomi 11 pro,,2,cheap,"08 24, 2015",AJPRN1TD1A0SD,transporter,,Two Stars,1440374400,TRUE,
17,B000NCTOUM,Xiaomi 11 pro,,5,Great deal and fast shipping!,"01 07, 2015",A1AJW9DILZFTQI,Riteway Appliance,,Five Stars,1420588800,TRUE,
18,B000NCTOUM,Xiaomi 11 pro,,5,"All was fine, product was as advertised.","12 3, 2014",A11SCLK8GDDN3C,mrclobhead,,Five Stars,1417564800,TRUE,
19,B000NCTOUM,Xiaomi 11 pro,,5,received ok,"11 21, 2014",A1LN48DHHCKLR3,Ernest Danel,,Five Stars,1416528000,TRUE,
20,B000NCTOUM,Xiaomi 11 pro,,4,A spare thermofuse.  Two years ago my dryer spun but there was no heat.  I got a service tech undid the back and changed it in seconds.  So I decided for the price I ordered a spare just in case.,"08 30, 2014",A34A1UP40713F8,James. Backus,,A spare thermofuse. Two years ago my dryer spun ...,1409356800,TRUE,
21,B000VLI74Y,Samsung 11 pro,,5,"Since the motor on my humidifier still works, all I had to do was run vinegar through it twice and replace the filter.  It's operating good as new, at least until it doesn't.

The filter is important as it reduces the really fine white dust just as advertised.  There's no way to look at the old used filter to know it should be replaced, but there's no way one of these can be used for two seasons.","12 6, 2012",A3NHUQ33CFH3VM,Greeny,{'Size:': ' 1'},Helping get another season out of humidifier,1354752000,TRUE,7
22,B000W3P4AQ,DELL Inspiron pro,,2,i cook only once in a blue moon.  i was shocked to see with as little use as this range has had that the grates look like they were under heavy use for years!!!  i called Jenn air and spoke with Adam A.  and they wouldn't exchange them or fix them.  they only offered my 25% off ( which was the same price anyway from the internet).  i can't really compare much else on the range since i haven't used it much and i am  not much of a cook!  the stainless steel does tend to rust and stain.  i got a stainless steel fridge and dishwasher  at the same time  by other brands and those seem to not have the same stainless steel issues.,"08 05, 2011",A3LGZ8M29PBNGG,nerenttt,,grate scratches so easily,1312502400,FALSE,2
23,B000XTJRRA,HP pavilion pro,,4,"I like this unit but am deducting one star because of the limited viewing angles. When you view from the sides or from the top or bottom, the display becomes much more difficult to read. It's not nearly as clear as the product photos. The display is also rather glossy to you wouldn't want it reflecting something bright, like a window.","04 09, 2017",A1T1YSCDW0PD25,Lantana Al,,Good product but limited viewing angles,1491696000,TRUE,
